280
0.208522	0.363856	0.03
0.208522	0.403143	0.03
0.214237	0.441554	0.031
0.217882	0.480742	0.032
0.221528	0.517197	0.034
0.231553	0.552741	0.038
0.241578	0.590107	0.044
0.254337	0.623827	0.048
0.268964	0.655485	0.054
0.290118	0.688728	0.068
0.313564	0.719946	0.085
0.339033	0.746439	0.116
0.365367	0.771699	0.16
0.393472	0.795286	0.20
0.423850	0.816390	0.23
0.456843	0.830688	0.25
0.498640	0.835298	0.26
0.542460	0.827742	0.25
0.570488	0.813824	0.23
0.601283	0.794761	0.20
0.630244	0.771299	0.16
0.653706	0.744537	0.116
0.674602	0.715209	0.085
0.694528	0.683978	0.068
0.713207	0.650952	0.054
0.728520	0.620206	0.048
0.738651	0.585120	0.044
0.750983	0.552735	0.038
0.760147	0.515375	0.034
0.764582	0.481716	0.032
0.772137	0.442429	0.031
0.775159	0.406165	0.03
0.779692	0.366878	0.03
0.258211	0.315803	0.300317
0.300357	0.285000	0.358889
0.346427	0.282863	0.393286
0.393129	0.291436	0.413443
0.436752	0.306878	0.417392
0.552961	0.307435	0.413876
0.598856	0.289929	0.407167
0.646035	0.283742	0.384220
0.685245	0.281901	0.348808
0.733521	0.316053	0.268446
0.498640	0.380477	0.406990
0.499008	0.429615	0.430060
0.499648	0.478875	0.452993
0.500288	0.526856	0.472487
0.442447	0.575918	0.375738
0.475384	0.570742	0.400464
0.495617	0.577330	0.403077
0.517042	0.569666	0.399133
0.547845	0.577330	0.373188
0.305769	0.382713	0.315779
0.333116	0.363058	0.358231
0.398202	0.370990	0.356576
0.418095	0.398955	0.348173
0.389578	0.406609	0.349953
0.329117	0.401074	0.338213
0.570900	0.398498	0.339846
0.590846	0.371233	0.345895
0.655411	0.362797	0.346336
0.682304	0.381869	0.303386
0.659575	0.400063	0.323697
0.600187	0.406414	0.340989
0.301741	0.313036	0.364692
0.345149	0.314271	0.387711
0.388843	0.320766	0.394329
0.431710	0.332724	0.397289
0.557879	0.333515	0.394334
0.602047	0.319135	0.391008
0.642012	0.315349	0.375753
0.686914	0.313792	0.350667
0.366635	0.359269	0.366323
0.358365	0.409324	0.347847
0.361537	0.385991	0.353921
0.622286	0.359191	0.354634
0.630704	0.408365	0.338503
0.627710	0.385264	0.343958
0.456171	0.390897	0.373151
0.532883	0.390580	0.381358
0.437451	0.505933	0.389629
0.551894	0.505052	0.403872
0.419391	0.544393	0.363854
0.570901	0.544393	0.356666
0.405863	0.675629	0.331858
0.434010	0.647443	0.377415
0.470140	0.629877	0.404284
0.496366	0.635674	0.406598
0.522163	0.629075	0.402979
0.558041	0.645113	0.374307
0.588470	0.675814	0.321865
0.564592	0.702280	0.339224
0.526611	0.725485	0.356912
0.497019	0.726483	0.360547
0.467761	0.726150	0.361535
